NORAD CAT ID,Satellite name,COSPAR ID,Launch date,Decay date,Apogee (km),Perigee (km),Age (years),Disposal status
44736,STARLINK-1031,2019-074Z,2019-11-11,,305.0,299.0,6.321697467488022,Decaying
44758,STARLINK-1053,2019-074AX,2019-11-11,,303.0,294.0,6.321697467488022,Decaying
44925,STARLINK-1112,2020-001M,2020-01-07,,239.0,230.0,6.165639972621492,Decaying
45413,STARLINK-1298,2020-019BF,2020-03-18,,290.0,282.0,5.971252566735113,Decaying
45699,STARLINK-1398,2020-035AU,2020-06-04,,292.0,286.0,5.757700205338809,Decaying
45756,STARLINK-1484,2020-038AC,2020-06-13,,272.0,264.0,5.73305954825462,Decaying
46157,STARLINK-1587,2020-057AS,2020-08-18,,290.0,283.0,5.552361396303901,Decaying
46336,STARLINK-1738,2020-062M,2020-09-03,,253.0,247.0,5.508555783709788,Decaying
46338,STARLINK-1752,2020-062P,2020-09-03,,301.0,297.0,5.508555783709788,Decaying
46362,STARLINK-1726,2020-062AP,2020-09-03,,293.0,285.0,5.508555783709788,Decaying
46533,STARLINK-1648,2020-070B,2020-10-06,,307.0,298.0,5.418206707734429,Decaying
46581,STARLINK-1712,2020-070BB,2020-10-06,,273.0,266.0,5.418206707734429,Decaying
46712,STARLINK-1814,2020-073AU,2020-10-18,,297.0,285.0,5.385352498288843,Decaying
47556,STARLINK-1955,2021-009J,2021-02-04,,284.0,279.0,5.086926762491444,Decaying
47643,STARLINK-2022,2021-012Z,2021-02-16,,294.0,289.0,5.054072553045859,Decaying
44235,STARLINK-31,2019-029A,2019-05-24,2020-10-01,154.0,142.0,6.789869952087611,Deorbited
44236,STARLINK-22,2019-029B,2019-05-24,2020-08-09,163.0,158.0,6.789869952087611,Deorbited
44237,STARLINK-23,2019-029C,2019-05-24,2020-09-02,167.0,161.0,6.789869952087611,Deorbited
44238,STARLINK-24,2019-029D,2019-05-24,2022-10-24,182.0,173.0,6.789869952087611,Deorbited
44239,STARLINK-25,2019-029E,2019-05-24,2020-09-01,160.0,156.0,6.789869952087611,Deorbited
44240,STARLINK-26,2019-029F,2019-05-24,2021-04-10,165.0,158.0,6.789869952087611,Deorbited
44241,STARLINK-27,2019-029G,2019-05-24,2020-09-26,157.0,151.0,6.789869952087611,Deorbited
44242,STARLINK-28,2019-029H,2019-05-24,2020-08-21,137.0,130.0,6.789869952087611,Deorbited
44243,STARLINK-29,2019-029J,2019-05-24,2020-10-13,142.0,131.0,6.789869952087611,Deorbited
44244,STARLINK-30,2019-029K,2019-05-24,2020-10-13,160.0,155.0,6.789869952087611,Deorbited
44245,STARLINK-21,2019-029L,2019-05-24,2020-09-22,161.0,151.0,6.789869952087611,Deorbited
44246,STARLINK-46,2019-029M,2019-05-24,2020-02-20,183.0,148.0,6.789869952087611,Deorbited
44247,STARLINK-33,2019-029N,2019-05-24,2020-08-29,140.0,129.0,6.789869952087611,Deorbited
44248,STARLINK-34,2019-029P,2019-05-24,2020-09-03,150.0,145.0,6.789869952087611,Deorbited
44249,STARLINK-61,2019-029Q,2019-05-24,2022-07-29,183.0,178.0,6.789869952087611,Deorbited
44250,STARLINK-36,2019-029R,2019-05-24,2020-09-15,209.0,197.0,6.789869952087611,Deorbited
44251,STARLINK-37,2019-029S,2019-05-24,2020-09-16,181.0,168.0,6.789869952087611,Deorbited
44252,STARLINK-71,2019-029T,2019-05-24,2022-10-23,189.0,181.0,6.789869952087611,Deorbited
44253,STARLINK-39,2019-029U,2019-05-24,2020-09-18,187.0,173.0,6.789869952087611,Deorbited
44254,STARLINK-32,2019-029V,2019-05-24,2020-09-12,149.0,139.0,6.789869952087611,Deorbited
44255,STARLINK-66,2019-029W,2019-05-24,2020-08-21,139.0,132.0,6.789869952087611,Deorbited
44256,STARLINK-42,2019-029X,2019-05-24,2020-09-16,173.0,135.0,6.789869952087611,Deorbited
44257,STARLINK-43,2019-029Y,2019-05-24,2022-01-27,167.0,100.0,6.789869952087611,Deorbited
44258,STARLINK-40,2019-029Z,2019-05-24,2020-09-05,141.0,108.0,6.789869952087611,Deorbited
44259,STARLINK-52,2019-029AA,2019-05-24,2020-10-13,184.0,175.0,6.789869952087611,Deorbited
44260,STARLINK-45,2019-029AB,2019-05-24,2020-09-04,176.0,163.0,6.789869952087611,Deorbited
44261,STARLINK-44,2019-029AC,2019-05-24,2020-09-05,183.0,175.0,6.789869952087611,Deorbited
44262,STARLINK-49,2019-029AD,2019-05-24,2020-09-29,215.0,204.0,6.789869952087611,Deorbited
44263,STARLINK-72,2019-029AE,2019-05-24,2020-10-16,144.0,139.0,6.789869952087611,Deorbited
44264,STARLINK-35,2019-029AF,2019-05-24,2020-09-16,166.0,160.0,6.789869952087611,Deorbited
44265,STARLINK-63,2019-029AG,2019-05-24,2020-10-13,165.0,164.0,6.789869952087611,Deorbited
44266,STARLINK-54,2019-029AH,2019-05-24,2020-09-15,146.0,120.0,6.789869952087611,Deorbited
44267,STARLINK-69,2019-029AJ,2019-05-24,2020-09-16,192.0,184.0,6.789869952087611,Deorbited
44268,STARLINK-55,2019-029AK,2019-05-24,2021-03-09,128.0,122.0,6.789869952087611,Deorbited
44269,STARLINK-57,2019-029AL,2019-05-24,2020-09-18,169.0,159.0,6.789869952087611,Deorbited
44270,STARLINK-58,2019-029AM,2019-05-24,2020-08-23,147.0,133.0,6.789869952087611,Deorbited
44271,STARLINK-59,2019-029AN,2019-05-24,2020-10-15,193.0,188.0,6.789869952087611,Deorbited
44272,STARLINK-51,2019-029AP,2019-05-24,2020-09-02,172.0,167.0,6.789869952087611,Deorbited
44273,STARLINK-60,2019-029AQ,2019-05-24,2020-12-26,163.0,156.0,6.789869952087611,Deorbited
44274,STARLINK-62,2019-029AR,2019-05-24,2020-08-28,144.0,132.0,6.789869952087611,Deorbited
44275,STARLINK-64,2019-029AS,2019-05-24,2021-05-21,179.0,171.0,6.789869952087611,Deorbited
44276,STARLINK-65,2019-029AT,2019-05-24,2020-10-21,188.0,179.0,6.789869952087611,Deorbited
44277,STARLINK-41,2019-029AU,2019-05-24,2020-08-09,182.0,162.0,6.789869952087611,Deorbited
44278,STARLINK-67,2019-029AV,2019-05-24,2020-05-27,158.0,151.0,6.789869952087611,Deorbited
44279,STARLINK-68,2019-029AW,2019-05-24,2021-06-26,185.0,181.0,6.789869952087611,Deorbited
44280,STARLINK-38,2019-029AX,2019-05-24,2020-09-06,149.0,140.0,6.789869952087611,Deorbited
44281,STARLINK-70,2019-029AY,2019-05-24,2021-10-03,179.0,166.0,6.789869952087611,Deorbited
44282,STARLINK-80,2019-029AZ,2019-05-24,2022-05-04,207.0,193.0,6.789869952087611,Deorbited
44283,STARLINK-56,2019-029BA,2019-05-24,2020-09-10,197.0,183.0,6.789869952087611,Deorbited
44284,STARLINK-73,2019-029BB,2019-05-24,2020-09-28,178.0,170.0,6.789869952087611,Deorbited
44285,STARLINK-50,2019-029BC,2019-05-24,2020-09-17,181.0,169.0,6.789869952087611,Deorbited
44286,STARLINK-75,2019-029BD,2019-05-24,2021-03-28,171.0,162.0,6.789869952087611,Deorbited
44287,STARLINK-76,2019-029BE,2019-05-24,2021-09-26,159.0,154.0,6.789869952087611,Deorbited
44288,STARLINK-79,2019-029BF,2019-05-24,2020-10-03,186.0,171.0,6.789869952087611,Deorbited
44289,STARLINK-48,2019-029BG,2019-05-24,2021-04-18,176.0,165.0,6.789869952087611,Deorbited
44290,STARLINK-78,2019-029BH,2019-05-24,2020-09-16,195.0,182.0,6.789869952087611,Deorbited
44291,STARLINK-77,2019-029BJ,2019-05-24,2020-10-02,211.0,197.0,6.789869952087611,Deorbited
44292,STARLINK-81,2019-029BK,2019-05-24,2020-10-04,163.0,158.0,6.789869952087611,Deorbited
44293,STARLINK-74,2019-029BL,2019-05-24,2020-09-29,194.0,191.0,6.789869952087611,Deorbited
44294,STARLINK-53,2019-029BM,2019-05-24,2020-09-26,178.0,173.0,6.789869952087611,Deorbited
44713,STARLINK-1007,2019-074A,2019-11-11,2024-10-02,198.0,187.0,6.321697467488022,Deorbited
44715,STARLINK-1009,2019-074C,2019-11-11,2025-02-21,166.0,160.0,6.321697467488022,Deorbited
44716,STARLINK-1010,2019-074D,2019-11-11,2025-11-15,155.0,153.0,6.321697467488022,Deorbited
44717,STARLINK-1011,2019-074E,2019-11-11,2025-12-06,157.0,148.0,6.321697467488022,Deorbited
44719,STARLINK-1013,2019-074G,2019-11-11,2025-09-01,148.0,138.0,6.321697467488022,Deorbited
44720,STARLINK-1014,2019-074H,2019-11-11,2025-07-15,159.0,147.0,6.321697467488022,Deorbited
44721,STARLINK-1015,2019-074J,2019-11-11,2025-10-04,166.0,161.0,6.321697467488022,Deorbited
44722,STARLINK-1016,2019-074K,2019-11-11,2023-02-09,192.0,182.0,6.321697467488022,Deorbited
44726,STARLINK-1021,2019-074P,2019-11-11,2025-10-11,158.0,153.0,6.321697467488022,Deorbited
44727,STARLINK-1022,2019-074Q,2019-11-11,2023-07-29,155.0,124.0,6.321697467488022,Deorbited
44728,STARLINK-1023,2019-074R,2019-11-11,2021-12-20,204.0,188.0,6.321697467488022,Deorbited
44729,STARLINK-1024,2019-074S,2019-11-11,2024-03-28,164.0,151.0,6.321697467488022,Deorbited
44730,STARLINK-1025,2019-074T,2019-11-11,2021-08-17,192.0,168.0,6.321697467488022,Deorbited
44731,STARLINK-1026,2019-074U,2019-11-11,2023-09-22,176.0,170.0,6.321697467488022,Deorbited
44732,STARLINK-1027,2019-074V,2019-11-11,2025-04-27,150.0,145.0,6.321697467488022,Deorbited
44733,STARLINK-1028,2019-074W,2019-11-11,2025-02-14,159.0,152.0,6.321697467488022,Deorbited
44734,STARLINK-1029,2019-074X,2019-11-11,2025-10-18,157.0,151.0,6.321697467488022,Deorbited
44735,STARLINK-1030,2019-074Y,2019-11-11,2025-09-19,152.0,143.0,6.321697467488022,Deorbited
44737,STARLINK-1032,2019-074AA,2019-11-11,2025-03-26,174.0,168.0,6.321697467488022,Deorbited
44738,STARLINK-1033,2019-074AB,2019-11-11,2023-10-08,187.0,177.0,6.321697467488022,Deorbited
44739,STARLINK-1034,2019-074AC,2019-11-11,2023-09-11,185.0,160.0,6.321697467488022,Deorbited
44740,STARLINK-1035,2019-074AD,2019-11-11,2025-04-12,148.0,144.0,6.321697467488022,Deorbited
44742,STARLINK-1037,2019-074AF,2019-11-11,2023-05-13,166.0,141.0,6.321697467488022,Deorbited
44743,STARLINK-1038,2019-074AG,2019-11-11,2025-02-08,168.0,167.0,6.321697467488022,Deorbited
44745,STARLINK-1040,2019-074AJ,2019-11-11,2020-09-03,137.0,128.0,6.321697467488022,Deorbited
44746,STARLINK-1041,2019-074AK,2019-11-11,2024-09-07,252.0,240.0,6.321697467488022,Deorbited
44749,STARLINK-1044,2019-074AN,2019-11-11,2021-10-15,186.0,182.0,6.321697467488022,Deorbited
44750,STARLINK-1045,2019-074AP,2019-11-11,2021-04-23,174.0,167.0,6.321697467488022,Deorbited
44754,STARLINK-1049,2019-074AT,2019-11-11,2023-10-27,184.0,180.0,6.321697467488022,Deorbited
44755,STARLINK-1050,2019-074AU,2019-11-11,2022-03-27,155.0,150.0,6.321697467488022,Deorbited
44756,STARLINK-1051,2019-074AV,2019-11-11,2021-12-20,199.0,191.0,6.321697467488022,Deorbited
44757,STARLINK-1052,2019-074AW,2019-11-11,2025-03-17,189.0,186.0,6.321697467488022,Deorbited
44759,STARLINK-1054,2019-074AY,2019-11-11,2025-11-20,161.0,155.0,6.321697467488022,Deorbited
